date,maxTem,minTem,weathers,wind
2022-01-01,13℃,2℃,多云,东南风 1级
2022-01-02,11℃,5℃,阴,东风 1级
2022-01-03,9℃,7℃,阴,北风 1级
2022-01-04,13℃,3℃,阴,南风 1级
2022-01-05,12℃,6℃,阴,北风 2级
2022-01-06,12℃,7℃,多云,北风 1级
2022-01-07,10℃,7℃,阴,北风 1级
2022-01-08,10℃,6℃,阴,北风 1级
2022-01-09,9℃,7℃,阴,北风 2级
2022-01-10,11℃,4℃,多云,东风 2级
2022-02-01,7℃,4℃,小雨,东北风 2级
2022-02-02,9℃,3℃,雾,西南风 1级
2022-02-03,8℃,4℃,雾,东北风 1级
2022-02-04,8℃,5℃,小雨,东南风 1级
2022-02-05,6℃,3℃,小雨,北风 1级
2022-02-06,6℃,2℃,小雨,北风 1级
2022-02-07,5℃,3℃,雾,东风 2级
2022-02-08,8℃,2℃,多云,南风 2级
2022-02-09,8℃,2℃,多云,东风 1级
2022-02-10,7℃,4℃,雾,北风 1级
2022-03-01,15℃,7℃,多云,东南风 1级
2022-03-02,17℃,7℃,阴,东北风 1级
2022-03-03,19℃,9℃,阴,南风 1级
2022-03-04,20℃,10℃,多云,西风 2级
2022-03-05,21℃,11℃,阴,东北风 2级
2022-03-06,21℃,9℃,晴,西南风 2级
2022-03-07,21℃,10℃,晴,东风 1级
2022-03-08,22℃,9℃,晴,北风 2级
2022-03-09,24℃,12℃,阴,北风 1级
2022-03-10,25℃,13℃,多云,北风 1级
2022-04-01,16℃,9℃,阴,西南风 1级
2022-04-02,20℃,10℃,多云,东南风 2级
2022-04-03,18℃,11℃,多云,北风 2级
2022-04-04,15℃,10℃,多云,西风 1级
2022-04-05,21℃,11℃,阴,南风 1级
2022-04-06,22℃,11℃,晴,南风 2级
2022-04-07,26℃,13℃,晴,南风 1级
2022-04-08,26℃,15℃,小雨,北风 1级
2022-04-09,29℃,16℃,多云,南风 2级
2022-04-10,29℃,17℃,多云,东南风 1级
2022-05-01,22℃,12℃,多云,西南风 3级
2022-05-02,25℃,11℃,多云,西南风 2级
2022-05-03,25℃,13℃,多云,南风 1级
2022-05-04,27℃,15℃,多云,南风 1级
2022-05-05,29℃,17℃,多云,南风 1级
2022-05-06,33℃,19℃,多云,东南风 2级
2022-05-07,32℃,20℃,多云,南风 2级
2022-05-08,27℃,17℃,小雨,北风 2级
2022-05-09,29℃,17℃,多云,南风 2级
2022-05-10,29℃,17℃,小雨,东北风 1级
